,titles,series,author,avg_rating,no_of_reviews,score,no_of_votes,pages,language,genre,no_of_awards,description,urls
820,The Invention of Nature: Alexander von Humboldt's New World,,Andrea Wulf,"4.34 avg rating — 13,460 ratings",1895,score: 353,"score: 353,
              and
4 people voted",473.0,English,Nonfiction,9,"The acclaimed author of Founding Gardeners reveals the forgotten life of Alexander von Humboldt, the visionary German naturalist whose ideas changed the way we see the natural world—and in the process created modern environmentalism. Alexander von Humboldt (1769 – 1859) was an intrepid explorer and the most famous scientist of his age. In North America, his name still graces four counties, thirteen towns, a river, parks, bays, lakes, and mountains. His restless life was packed with adventure and discovery, whether he was climbing the highest volcanoes in the world or racing through anthrax-infected Siberia or translating his research into bestselling publications that changed science and thinking. Among Humboldt’s most revolutionary ideas was a radical vision of nature, that it is a complex and interconnected global force that does not exist for the use of humankind alone. Now Andrea Wulf brings the man and his achievements back into focus: his daring expeditions and investigation of wild environments around the world and his discoveries of similarities between climate and vegetation zones on different continents. She also discusses his prediction of human-induced climate change, his remarkable ability to fashion poetic narrative out of scientific observation, and his relationships with iconic figures such as Simón Bolívar and Thomas Jefferson. Wulf examines how Humboldt’s writings inspired other naturalists and poets such as Darwin, Wordsworth, and Goethe, and she makes the compelling case that it was Humboldt’s influence that led John Muir to his ideas of natural preservation and that shaped Thoreau’s Walden. With this brilliantly researched and compellingly written book, Andrea Wulf shows the myriad fundamental ways in which Humboldt created our understanding of the natural world, and she champions a renewed interest in this vital and lost player in environmental history and science.",https://www.goodreads.com/book/show/23995249-the-invention-of-nature
821,Normal People,,Sally Rooney,"3.87 avg rating — 323,121 ratings",28493,score: 353,"score: 353,
              and
4 people voted",273.0,English,Fiction,8,"At school Connell and Marianne pretend not to know each other. He’s popular and well-adjusted, star of the school soccer team while she is lonely, proud, and intensely private. But when Connell comes to pick his mother up from her housekeeping job at Marianne’s house, a strange and indelible connection grows between the two teenagers - one they are determined to conceal.A year later, they’re both studying at Trinity College in Dublin. Marianne has found her feet in a new social world while Connell hangs at the sidelines, shy and uncertain. Throughout their years in college, Marianne and Connell circle one another, straying toward other people and possibilities but always magnetically, irresistibly drawn back together. Then, as she veers into self-destruction and he begins to search for meaning elsewhere, each must confront how far they are willing to go to save the other.Sally Rooney brings her brilliant psychological acuity and perfectly spare prose to a story that explores the subtleties of class, the electricity of first love, and the complex entanglements of family and friendship.",https://www.goodreads.com/book/show/41057294-normal-people
822,Life Itself,,Roger Ebert,"3.91 avg rating — 5,780 ratings",895,score: 352,"score: 352,
              and
4 people voted",436.0,English,Nonfiction,1,"Roger Ebert is the best-known film critic of our time. He has been reviewing films for the Chicago Sun-Times since 1967, and was the first film critic ever to win a Pulitzer Prize. He has appeared on television for four decades, including twenty-three years as cohost of Siskel & Ebert at the Movies.In 2006, complications from thyroid cancer treatment resulted in the loss of his ability to eat, drink, or speak. But with the loss of his voice, Ebert has only become a more prolific and influential writer. And now, for the first time, he tells the full, dramatic story of his life and career.Roger Ebert's journalism carried him on a path far from his nearly idyllic childhood in Urbana, Illinois. It is a journey that began as a reporter for his local daily, and took him to Chicago, where he was unexpectedly given the job of film critic for the Sun-Times, launching a lifetime's adventures.In this candid, personal history, Ebert chronicles it all: his loves, losses, and obsessions; his struggle and recovery from alcoholism; his marriage; his politics; and his spiritual beliefs. He writes about his years at the Sun-Times, his colorful newspaper friends, and his life-changing collaboration with Gene Siskel. He remembers his friendships with Studs Terkel, Mike Royko, Oprah Winfrey, and Russ Meyer (for whom he wrote Beyond the Valley of the Dolls and an ill-fated Sex Pistols movie). He shares his insights into movie stars and directors like John Wayne, Werner Herzog, and Martin Scorsese.This is a story that only Roger Ebert could tell. Filled with the same deep insight, dry wit, and sharp observations that his readers have long cherished, this is more than a memoir-it is a singular, warm-hearted, inspiring look at life itself.""I believe that if, at the end, according to our abilities, we have done something to make others a little happier, and something to make ourselves a little happier, that is about the best we can do. To make others less happy is a crime. To make ourselves unhappy is where all crime starts. We must try to contribute joy to the world. That is true no matter what our problems, our health, our circumstances. We must try. I didn't always know this, and am happy I lived long enough to find it out.""-from LIFE ITSELF",https://www.goodreads.com/book/show/10836585-life-itself
823,Why Not Me?,,Mindy Kaling,"3.91 avg rating — 169,714 ratings",10474,score: 352,"score: 352,
              and
6 people voted",228.0,English,Nonfiction,1,"In Why Not Me?, Kaling shares her ongoing journey to find contentment and excitement in her adult life, whether it’s falling in love at work, seeking new friendships in lonely places, attempting to be the first person in history to lose weight without any behavior modification whatsoever, or most important, believing that you have a place in Hollywood when you’re constantly reminded that no one looks like you. In “How to Look Spectacular: A Starlet’s Confessions,” Kaling gives her tongue-in-cheek secrets for surefire on-camera beauty, (“Your natural hair color may be appropriate for your skin tone, but this isn’t the land of appropriate–this is Hollywood, baby. Out here, a dark-skinned woman’s traditional hair color is honey blonde.”) “Player” tells the story of Kaling being seduced and dumped by a female friend in L.A. (“I had been replaced by a younger model. And now they had matching bangs.”) In “Unlikely Leading Lady,” she muses on America’s fixation with the weight of actresses, (“Most women we see onscreen are either so thin that they’re walking clavicles or so huge that their only scenes involve them breaking furniture.”) And in “Soup Snakes,” Kaling spills some secrets on her relationship with her ex-boyfriend and close friend, B.J. Novak (“I will freely admit: my relationship with B.J. Novak is weird as hell.”) Mindy turns the anxieties, the glamour, and the celebrations of her second coming-of-age into a laugh-out-loud funny collection of essays that anyone who’s ever been at a turning point in their life or career can relate to. And those who’ve never been at a turning point can skip to the parts where she talks about meeting Bradley Cooper.",https://www.goodreads.com/book/show/22716447-why-not-me
824,The Nickel Boys,,Colson Whitehead,"4.28 avg rating — 89,560 ratings",10171,score: 352,"score: 352,
              and
5 people voted",213.0,English,Fiction,10,"Winner of the 2020 Pulizer Prize for Fiction.As the Civil Rights movement begins to reach the black enclave of Frenchtown in segregated Tallahassee, Elwood Curtis takes the words of Dr. Martin Luther King to heart: He is “as good as anyone.” Abandoned by his parents, but kept on the straight and narrow by his grandmother, Elwood is a high school senior about to start classes at a local college. But for a black boy in the Jim Crow South of the early 1960s, one innocent mistake is enough to destroy the future. Elwood is sentenced to a juvenile reformatory called the Nickel Academy, whose mission statement says it provides “physical, intellectual and moral training” so the delinquent boys in their charge can become “honorable and honest men.”In reality, the Nickel Academy is a grotesque chamber of horrors. Stunned to find himself in such a vicious environment, Elwood tries to hold onto Dr. King’s ringing assertion “Throw us in jail and we will still love you.” His friend Turner thinks Elwood is worse than naive, that the world is crooked, and that the only way to survive is to scheme and avoid trouble.The tension between Elwood’s ideals and Turner’s skepticism leads to a decision with repercussions that will echo down the decades. Formed in the crucible of the evils Jim Crow wrought, the boys’ fates will be determined by what they endured at the Nickel Academy.The book is based on the real story of a reform school in Florida that operated for one hundred and eleven years and warped the lives of thousands of children.",https://www.goodreads.com/book/show/42270835-the-nickel-boys
825,2312,,Kim Stanley Robinson,"3.46 avg rating — 15,837 ratings",2256,score: 351,"score: 351,
              and
4 people voted",561.0,English,Science Fiction,13,"The year is 2312. Scientific and technological advances have opened gateways to an extraordinary future. Earth is no longer humanity's only home; new habitats have been created throughout the solar system on moons, planets, and in between. But in this year, 2312, a sequence of events will force humanity to confront its past, its present, and its future.The first event takes place on Mercury, on the city of Terminator, itself a miracle of engineering on an unprecedented scale. It is an unexpected death, but one that might have been foreseen. For Swan Er Hong, it is an event that will change her life. Swan was once a woman who designed worlds. Now she will be led into a plot to destroy them.",https://www.goodreads.com/book/show/11830394-2312
826,Somewhere in France ,The Great War #1),Jennifer Robson,"3.78 avg rating — 10,330 ratings",1277,score: 351,"score: 351,
              and
5 people voted",373.0,English,Historical,0,"Lady Elizabeth Neville-Ashford wants to travel the world, pursue a career, and marry for love. But in 1914, the stifling restrictions of aristocratic British society and her mother’s rigid expectations forbid Lily from following her heart. When war breaks out, the spirited young woman seizes her chance for independence. Defying her parents, she moves to London and eventually becomes an ambulance driver in the newly formed Women’s Army Auxiliary Corps—an exciting and treacherous job that takes her close to the Western Front.Assigned to a field hospital in France, Lily is reunited with Robert Fraser, her dear brother Edward’s best friend. The handsome Scottish surgeon has always encouraged Lily’s dreams. She doesn’t care that Robbie grew up in poverty—she yearns for their friendly affection to become something more. Lily is the most beautiful—and forbidden—woman Robbie has ever known. Fearful for her life, he’s determined to keep her safe, even if it means breaking her heart.In a world divided by class, filled with uncertainty and death, can their hope for love survive. . . or will it become another casualty of this tragic war?",https://www.goodreads.com/book/show/18090117-somewhere-in-france
827,Seconds,,Bryan Lee O'Malley,"4.06 avg rating — 39,320 ratings",3491,score: 351,"score: 351,
              and
4 people voted",323.0,English,Sequential Art,3,"Katie’s got it pretty good. She’s a talented young chef, she runs a successful restaurant, and she has big plans to open an even better one. Then, all at once, progress on the new location bogs down, her charming ex-boyfriend pops up, her fling with another chef goes sour, and her best waitress gets badly hurt. And just like that, Katie’s life goes from pretty good to not so much. What she needs is a second chance. Everybody deserves one, after all—but they don’t come easy. Luckily for Katie, a mysterious girl appears in the middle of the night with simple instructions for a do-it-yourself do-over:   1. Write your mistake 2. Ingest one mushroom 3. Go to sleep 4. Wake anew   And just like that, all the bad stuff never happened, and Katie is given another chance to get things right. She’s also got a dresser drawer full of magical mushrooms—and an irresistible urge to make her life not just good, but perfect. Too bad it’s against the rules. But Katie doesn’t care about the rules—and she’s about to discover the unintended consequences of the best intentions.   From the mind and pen behind the acclaimed Scott Pilgrim series comes a madcap new tale of existential angst, everyday obstacles, young love, and ancient spirits that’s sharp-witted and tenderhearted, whimsical and wise.",https://www.goodreads.com/book/show/18630542-seconds
828,Stormbird ,"Wars of the Roses, #1)",Conn Iggulden,"3.89 avg rating — 11,034 ratings",1015,score: 350,"score: 350,
              and
3 people voted",482.0,English,Historical,0,"King Henry V - the great Lion of England - is long dead.In 1437, after years of regency, the pious and gentle Henry VI, the Lamb, comes of age and accedes to the English throne. His poor health and frailty of mind render him a weakling king -Henry depends on his closest men, Spymaster Derry Brewer and William de la Pole, Duke of Suffolk, to run his kingdom.Yet there are those, such as the Plantagenet Richard, Duke of York, who believe England must be led by a strong king if she is to survive. With England's territories in France under threat, and rumours of revolt at home, fears grow that Henry and his advisers will see the country slide into ruin. With a secret deal struck for Henry to marry a young French noblewoman, Margaret of Anjou, those fears become all too real.As storm clouds gather over England, King Henry and his supporters find themselves besieged abroad and at home. Who, or what can save the kingdom before it is too late?",https://www.goodreads.com/book/show/17830079-stormbird
829,Assassin's Fate ,"The Fitz and the Fool, #3)",Robin Hobb,"4.64 avg rating — 26,134 ratings",2464,score: 349,"score: 349,
              and
4 people voted",847.0,English,Fantasy,5,"More than twenty years ago, the first epic fantasy novel featuring FitzChivalry Farseer and his mysterious, often maddening friend the Fool struck like a bolt of brilliant lightning. Now New York Times bestselling author Robin Hobb brings to a momentous close the third trilogy featuring these beloved characters in a novel of unsurpassed artistry that is sure to endure as one of the great masterworks of the genre.Fitz’s young daughter, Bee, has been kidnapped by the Servants, a secret society whose members not only dream of possible futures but use their prophecies to add to their wealth and influence. Bee plays a crucial part in these dreams—but just what part remains uncertain.As Bee is dragged by her sadistic captors across half the world, Fitz and the Fool, believing her dead, embark on a mission of revenge that will take them to the distant island where the Servants reside—a place the Fool once called home and later called prison. It was a hell the Fool escaped, maimed and blinded, swearing never to return.For all his injuries, however, the Fool is not as helpless as he seems. He is a dreamer too, able to shape the future. And though Fitz is no longer the peerless assassin of his youth, he remains a man to be reckoned with—deadly with blades and poison, and adept in Farseer magic. And their goal is simple: to make sure not a single Servant survives their scourge.",https://www.goodreads.com/book/show/30688013-assassin-s-fate
830,Songs of Willow Frost,,Jamie Ford,"3.66 avg rating — 18,657 ratings",2815,score: 348,"score: 348,
              and
5 people voted",319.0,English,Historical,1,"Twelve-year-old William Eng, a Chinese-American boy, has lived at Seattle’s Sacred Heart Orphanage ever since his mother’s listless body was carried away from their small apartment five years ago. On his birthday—or rather, the day the nuns designate as his birthday—William and the other orphans are taken to the historical Moore Theatre, where William glimpses an actress on the silver screen who goes by the name of Willow Frost. Struck by her features, William is convinced that the movie star is his mother, Liu Song.Determined to find Willow, and prove his mother is still alive, William escapes from Sacred Heart with his friend Charlotte. The pair navigates the streets of Seattle, where they must not only survive, but confront the mysteries of William’s past and his connection to the exotic film star. The story of Willow Frost, however, is far more complicated than the Hollywood fantasy William sees onscreen.Shifting between the Great Depression and the 1920s, Songs of Willow Frost takes readers on an emotional journey of discovery. Jamie Ford’s sweeping book will resonate with anyone who has ever longed for the comforts of family and a place to call home.",https://www.goodreads.com/book/show/17232261-songs-of-willow-frost
831,The Calling ,"Darkness Rising, #2)",Kelley Armstrong,"4.10 avg rating — 30,743 ratings",1857,score: 348,"score: 348,
              and
5 people voted",326.0,English,Young Adult,1,"Maya Delaney's paw-print birthmark is the mark of what she truly is - a skin-walker. She can run faster, climb higher, and see better than nearly everyone else. Experiencing intense connections with the animals that roam the woods outside her home, Maya knows it's only a matter of time before she's able to Shift and become one of them. And she believes there may be others in her small town with surprising talents.Now Maya and her friends have been forced to flee from their homes during a forest fire they suspect was deliberately set. Then they're kidnapped, and after a chilling helicopter crash, they find themselves in the Vancouver Island wilderness with nothing but their extraordinary abilities to help them get back home.In THE CALLING, the sizzling second book in the Darkness Rising trilogy, New York Times bestselling author Kelley Armstrong pumps up the romance, danger, and suspense that left readers of THE GATHERING clamoring for more.",https://www.goodreads.com/book/show/11765920-the-calling
832,"A Thousand Lives: The Untold Story of Hope, Deception, and Survival at Jonestown",,Julia Scheeres,"3.98 avg rating — 4,439 ratings",732,score: 347,"score: 347,
              and
4 people voted",307.0,English,Nonfiction,2,  ,https://www.goodreads.com/book/show/11369904-a-thousand-lives
833,The Spirit Eater ,"The Legend of Eli Monpress, #3)",Rachel Aaron,"4.08 avg rating — 4,717 ratings",214,score: 347,"score: 347,
              and
4 people voted",422.0,English,Fantasy,0,"With the pressure on after his success in Gaol, Eli Monpress, professional thief and degenerate, decides it's time to lie low for a bit. Taking up residence in a tiny seaside village, Eli and his companions seize the chance for some fun and relaxation.Nico, however, is finding it a bit hard. Plagued by a demon's voice in her head and feeling powerless, she only sees herself as a burden. Everyone's holiday comes to an untimely close, though, when Pele arrives to beg Eli's help for finding her missing father.But there are larger plans afoot than even Eli can see, and the real danger, and the solution, may lie with one of his own and her forgotten past.If only Nico could remember whose side she's on.",https://www.goodreads.com/book/show/8425213-the-spirit-eater
834,Cirkeln ,"Engelsfors, #1)",Mats Strandberg,"3.84 avg rating — 12,654 ratings",982,score: 346,"score: 346,
              and
4 people voted",516.0,Swedish,Fantasy,0,"Engelsfors. Vackert namn, risig stad. Omgiven av djupa skogar där människor ofta går vilse och försvinner. Sex tjejer har just börjat gymnasiet. De har inget gemensamt - förutom att en uråldrig ondska jagar dem.Höstterminen har just börjat när en elev hittas död på en av gymnasieskolans toaletter. Alla förmodar att det var ett självmord. Alla utom de som vet sanningen.En natt då månen färgats mystiskt röd förs sex tonårstjejer till den nedlagda folkparken. De vet inte hur de har kommit dit eller varför de är där, men utan varandra kommer de inte att överleva.De får veta att de är häxor. De Utvalda, som nämns i en uråldrig profetia. Plötsligt är gymnasiet på liv och död - bokstavligt talat. De måste lära sig samarbeta trots sina olikheter, och kontrollera de magiska krafter som vaknat till liv inom dem. Tiden håller på att rinna ut. De måste hitta och besegra ondskan som jagar dem, innan ondskan hittar dem.",https://www.goodreads.com/book/show/11010899-cirkeln
835,"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",,S.C. Gwynne,"4.17 avg rating — 31,948 ratings",3270,score: 345,"score: 345,
              and
5 people voted",384.0,English,History,3,"In the tradition of Bury My Heart at Wounded Knee, a stunningly vivid historical account of the forty-year battle between Comanche Indians and white settlers for control of the American West, centering on Quanah, the greatest Comanche chief of them all.S. C. Gwynne’s Empire of the Summer Moon spans two astonishing stories. The first traces the rise and fall of the Comanches, the most powerful Indian tribe in American history. The second entails one of the most remarkable narratives ever to come out of the Old West: the epic saga of the pioneer woman Cynthia Ann Parker and her mixed-blood son Quanah, who became the last and greatest chief of the Comanches. Although readers may be more familiar with the tribal names Apache and Sioux, it was in fact the legendary fighting ability of the Comanches that determined just how and when the American West opened up. Comanche boys became adept bareback riders by age six; full Comanche braves were considered the best horsemen who ever rode. They were so masterful at war and so skillful with their arrows and lances that they stopped the northern drive of colonial Spain from Mexico and halted the French expansion westward from Louisiana. White settlers arriving in Texas from the eastern United States were surprised to find the frontier being rolled backward by Comanches incensed by the invasion of their tribal lands. So effective were the Comanches that they forced the creation of the Texas Rangers and account for the advent of the new weapon specifically designed to fight them: the six-gun. The war with the Comanches lasted four decades, in effect holding up the development of the new American nation. Gwynne’s exhilarating account delivers a sweeping narrative that encompasses Spanish colonialism, the Civil War, the destruction of the buffalo herds, and the arrival of the railroads—a historical feast for anyone interested in how the United States came into being. Against this backdrop Gwynne presents the compelling drama of Cynthia Ann Parker, a lovely nine-year-old girl with cornflower-blue eyes who was kidnapped by Comanches from the far Texas frontier in 1836. She grew to love her captors and became infamous as the ""White Squaw"" who refused to return until her tragic capture by Texas Rangers in 1860. More famous still was her son Quanah, a warrior who was never defeated and whose guerrilla wars in the Texas Panhandle made him a legend. S. C. Gwynne’s account of these events is meticulously researched, intellectually provocative, and, above all, thrillingly told.",https://www.goodreads.com/book/show/7648269-empire-of-the-summer-moon
836,Nemesis,,Philip Roth,"3.81 avg rating — 11,838 ratings",1308,score: 344,"score: 344,
              and
4 people voted",280.0,English,Fiction,1,"In the “stifling heat of equatorial Newark,” a terrifying epidemic is raging, threatening the children of the New Jersey city with maiming, paralysis, lifelong disability, and even death. This is the startling theme of Philip Roth’s wrenching new book: a wartime polio epidemic in the summer of 1944 and the effect it has on a closely knit, family-oriented Newark community and its children. At the center of Nemesis is a vigorous, dutiful twenty-three-year-old playground director, Bucky Cantor, a javelin thrower and weightlifter, who is devoted to his charges and disappointed with himself because his weak eyes have excluded him from serving in the war alongside his contemporaries. Focusing on Cantor’s dilemmas as polio begins to ravage his playground—and on the everyday realities he faces—Roth leads us through every inch of emotion such a pestilence can breed: the fear, the panic, the anger, the bewilderment, the suffering, and the pain. Moving between the smoldering, malodorous streets of besieged Newark and Indian Hill, a pristine children’s summer camp high in the Poconos—whose “mountain air was purified of all contaminants”—Roth depicts a decent, energetic man with the best intentions struggling in his own private war against the epidemic. Roth is tenderly exact at every point about Cantor’s passage into personal disaster, and no less exact about the condition of childhood. Through this story runs the dark questions that haunt all four of Roth’s late short novels, Everyman, Indignation, The Humbling, and now Nemesis: What kind of accidental choices fatally shape a life? How does the individual withstand the onslaught of circumstance?",https://www.goodreads.com/book/show/7703038-nemesis
837,The Enchanted,,Rene Denfeld,"3.95 avg rating — 17,901 ratings",3390,score: 344,"score: 344,
              and
6 people voted",233.0,English,Fiction,4,"This is an enchanted place. Others don't see it, but I do.The enchanted place is an ancient stone prison, viewed through the eyes of a death row inmate who finds escape in his books and in re-imagining life around him, weaving a fantastical story of the people he observes and the world he inhabits. Fearful and reclusive, he senses what others cannot. Though bars confine him every minute of every day, he marries magical visions of golden horses running beneath the prison, heat flowing like molten metal from their backs, with the devastating violence of prison life.Two outsiders venture here: a fallen priest, and the Lady, an investigator who searches for buried information from prisoners' pasts that can save those soon-to-be-executed. Digging into the background of a killer named York, she uncovers wrenching truths that challenge familiar notions of victim and criminal, innocence and guilt, honour and corruption-ultimately revealing shocking secrets of her own.",https://www.goodreads.com/book/show/18090147-the-enchanted
838,Shelter ,"Mickey Bolitar, #1)",Harlan Coben,"3.94 avg rating — 21,490 ratings",2300,score: 342,"score: 342,
              and
4 people voted",288.0,English,Mystery,4,"Mickey Bolitar's year can't get much worse. After witnessing his father's death and sending his mom to rehab, he's forced to live with his estranged uncle Myron and switch high schools.A new school comes with new friends and new enemies, and lucky for Mickey, it also comes with a great new girlfriend, Ashley. For a while, it seems like Mickey's train-wreck of a life is finally improving - until Ashley vanishes without a trace. Unwilling to let another person walk out of his life, Mickey follows Ashley's trail into a seedy underworld that reveals that this seemingly sweet, shy girl isn't who she claimed to be. And neither was Mickey's father. Soon, Mickey learns about a conspiracy so shocking that it makes high school drama seem like a luxury - and leaves him questioning everything about the life he thought he knew.First introduced to readers in Harlan Coben's latest adult novel, Live Wire, Mickey Bolitar is as quick-witted and clever as his uncle Myron, and eager to go to any length to save the people he cares about. With this new series, Coben introduces an entirely new generation of fans to the masterful plotting and wry humor that have made him an award-winning, internationally bestselling, and beloved author.",https://www.goodreads.com/book/show/13595638-shelter
839,One of Us Is Lying ,"One of Us is Lying, #1)",Karen M. McManus,"4.05 avg rating — 187,607 ratings",24409,score: 341,"score: 341,
              and
4 people voted",361.0,English,Young Adult,8,"The Breakfast Club meets Pretty Little Liars, One of Us Is Lying is the story of what happens when five strangers walk into detention and only four walk out alive. Everyone is a suspect, and everyone has something to hide. Pay close attention and you might solve this.On Monday afternoon, five students at Bayview High walk into detention. Bronwyn, the brain,  is Yale-bound and never breaks a rule.  Addy,  the beauty,  is the picture-perfect homecoming princess.  Nate, the criminal, is already on probation for dealing. Cooper, the athlete, is the all-star baseball pitcher. And Simon,  the outcast, is the creator of Bayview High's notorious gossip app.Only, Simon never makes it out of that classroom. Before the end of detention, Simon's dead. And according to investigators, his death wasn't an accident. On Monday, he died. But on Tuesday, he'd planned to post juicy reveals about all four of his high-profile classmates, which makes all four of them suspects in his murder. Or are they the perfect patsies for a killer who's still on the loose? Everyone has secrets, right? What really matters is how far you would go to protect them.",https://www.goodreads.com/book/show/32571395-one-of-us-is-lying
840,Everyone Brave is Forgiven,,Chris Cleave,"3.77 avg rating — 35,266 ratings",4687,score: 339,"score: 339,
              and
4 people voted",418.0,English,Historical,1,"A spellbinding novel about three unforgettable individuals thrown together by war, love, and their search for belonging in the ever-changing landscape of WWII London.It’s 1939 and Mary, a young socialite, is determined to shock her blueblood political family by volunteering for the war effort. She is assigned as a teacher to children who were evacuated from London and have been rejected by the countryside because they are infirm, mentally disabled, or—like Mary’s favorite student, Zachary—have colored skin.Tom, an education administrator, is distraught when his best friend, Alastair, enlists. Alastair, an art restorer, has always seemed far removed from the violent life to which he has now condemned himself. But Tom finds distraction in Mary, first as her employer and then as their relationship quickly develops in the emotionally charged times. When Mary meets Alastair, the three are drawn into a tragic love triangle and—while war escalates and bombs begin falling around them—further into a new world unlike any they’ve ever known.A sweeping epic with the kind of unforgettable characters, cultural insights, and indelible scenes that made Little Bee so incredible, Chris Cleave’s latest novel explores the disenfranchised, the bereaved, the elite, the embattled. Everyone Brave Is Forgiven is a heartbreakingly beautiful story of love, loss, and incredible courage.",https://www.goodreads.com/book/show/25814512-everyone-brave-is-forgiven
841,Every Heart a Doorway ,"Wayward Children, #1)",Seanan McGuire,"3.83 avg rating — 61,624 ratings",12267,score: 339,"score: 339,
              and
5 people voted",173.0,English,Fantasy,9,"Eleanor West’s Home for Wayward ChildrenNo SolicitationsNo VisitorsNo QuestsChildren have always disappeared under the right conditions; slipping through the shadows under a bed or at the back of a wardrobe, tumbling down rabbit holes and into old wells, and emerging somewhere... else.But magical lands have little need for used-up miracle children.Nancy tumbled once, but now she’s back. The things she’s experienced... they change a person. The children under Miss West’s care understand all too well. And each of them is seeking a way back to their own fantasy world.But Nancy’s arrival marks a change at the Home. There’s a darkness just around each corner, and when tragedy strikes, it’s up to Nancy and her new-found schoolmates to get to the heart of the matter.No matter the cost.",https://www.goodreads.com/book/show/25526296-every-heart-a-doorway
842,"A Higher Loyalty: Truth, Lies, and Leadership",,James Comey,"4.15 avg rating — 39,036 ratings",5049,score: 339,"score: 339,
              and
5 people voted",290.0,English,Nonfiction,1,"Former FBI Director James Comey shares his never-before-told experiences from some of the highest-stakes situations of his career in the past two decades of American government, exploring what good, ethical leadership looks like, and how it drives sound decisions. His journey provides an unprecedented entry into the corridors of power, and a remarkable lesson in what makes an effective leader.Mr. Comey served as Director of the FBI from 2013 to 2017, appointed to the post by President Barack Obama. He previously served as U.S. attorney for the Southern District of New York, and the U.S. deputy attorney general in the administration of President George W. Bush. From prosecuting the Mafia and Martha Stewart to helping change the Bush administration's policies on torture and electronic surveillance, overseeing the Hillary Clinton e-mail investigation as well as ties between the Trump campaign and Russia, Comey has been involved in some of the most consequential cases and policies of recent history.",https://www.goodreads.com/book/show/35108805-a-higher-loyalty
843,The Japanese Lover,,Isabel Allende,"3.82 avg rating — 58,247 ratings",6461,score: 337,"score: 337,
              and
5 people voted",322.0,English,Historical,0,"In 1939, as Poland falls under the shadow of the Nazis, young Alma Belasco's parents send her away to live in safety with an aunt and uncle in their opulent mansion in San Francisco. There, as the rest of the world goes to war, she encounters Ichimei Fukuda, the quiet and gentle son of the family's Japanese gardener. Unnoticed by those around them, a tender love affair begins to blossom. Following the Japanese attack on Pearl Harbor, the two are cruelly pulled apart as Ichimei and his family, like thousands of other Japanese Americans are declared enemies and forcibly relocated to internment camps run by the United States government. Throughout their lifetimes, Alma and Ichimei reunite again and again, but theirs is a love that they are forever forced to hide from the world.Decades later, Alma is nearing the end of her long and eventful life. Irina Bazili, a care worker struggling to come to terms with her own troubled past, meets the elderly woman and her grandson, Seth, at San Francisco's charmingly eccentric Lark House nursing home. As Irina and Seth forge a friendship, they become intrigued by a series of mysterious gifts and letters sent to Alma, eventually learning about Ichimei and this extraordinary secret passion that has endured for nearly seventy years.",https://www.goodreads.com/book/show/25152052-the-japanese-lover
844,The Traitor Baru Cormorant ,"The Masquerade, #1)",Seth Dickinson,"4.07 avg rating — 11,785 ratings",1980,score: 337,"score: 337,
              and
4 people voted",399.0,English,Fantasy,2,"Tomorrow, on the beach, Baru Cormorant will look up from the sand of her home and see red sails on the horizon.The Empire of Masks is coming, armed with coin and ink, doctrine and compass, soap and lies. They'll conquer Baru’s island, rewrite her culture, criminalize her customs, and dispose of one of her fathers. But Baru is patient. She'll swallow her hate, prove her talent, and join the Masquerade. She will learn the secrets of empire. She’ll be exactly what they need. And she'll claw her way high enough up the rungs of power to set her people free. In a final test of her loyalty, the Masquerade will send Baru to bring order to distant Aurdwynn, a snakepit of rebels, informants, and seditious dukes. Aurdwynn kills everyone who tries to rule it. To survive, Baru will need to untangle this land’s intricate web of treachery - and conceal her attraction to the dangerously fascinating Duchess Tain Hu. But Baru is a savant in games of power, as ruthless in her tactics as she is fixated on her goals. In the calculus of her schemes, all ledgers must be balanced, and the price of liberation paid in full.",https://www.goodreads.com/book/show/23444482-the-traitor-baru-cormorant
845,Furiously Happy: A Funny Book About Horrible Things,,Jenny  Lawson,"3.92 avg rating — 119,648 ratings",13029,score: 337,"score: 337,
              and
6 people voted",329.0,English,Nonfiction,2,"#1 New York Times BestsellerIn Furiously Happy, a humor memoir tinged with just enough tragedy and pathos to make it worthwhile, Jenny Lawson examines her own experience with severe depression and a host of other conditions, and explains how it has led her to live life to the fullest:""I've often thought that people with severe depression have developed such a well for experiencing extreme emotion that they might be able to experience extreme joy in a way that ‘normal people' also might never understand. And that's what Furiously Happy is all about.""Jenny’s readings are standing room only, with fans lining up to have Jenny sign their bottles of Xanax or Prozac as often as they are to have her sign their books. Furiously Happy appeals to Jenny's core fan base but also transcends it. There are so many people out there struggling with depression and mental illness, either themselves or someone in their family—and in Furiously Happy they will find a member of their tribe offering up an uplifting message (via a taxidermied roadkill raccoon). Let's Pretend This Never Happened ostensibly was about embracing your own weirdness, but deep down it was about family. Furiously Happy is about depression and mental illness, but deep down it's about joy—and who doesn't want a bit more of that?",https://www.goodreads.com/book/show/23848559-furiously-happy
